Country,Date,Continent,TotalCases,TotalDeaths
Costa Rica,2020-05-16,North America,853,10
Costa Rica,2020-05-17,North America,863,10
Costa Rica,2020-05-18,North America,866,10
Costa Rica,2020-05-19,North America,882,10
Costa Rica,2020-05-20,North America,897,10
Costa Rica,2020-05-21,North America,903,10
Costa Rica,2020-05-22,North America,911,10
Costa Rica,2020-05-23,North America,918,10
Costa Rica,2020-05-24,North America,930,10
Costa Rica,2020-05-25,North America,951,10
Costa Rica,2020-05-26,North America,956,10
Costa Rica,2020-05-27,North America,984,10
Costa Rica,2020-05-28,North America,1000,10
Costa Rica,2020-05-29,North America,1022,10
Costa Rica,2020-05-30,North America,1047,10
Costa Rica,2020-05-31,North America,1056,10
Costa Rica,2020-06-01,North America,1084,10
Costa Rica,2020-06-02,North America,1105,10
Costa Rica,2020-06-03,North America,1157,10
Costa Rica,2020-06-04,North America,1194,10
Costa Rica,2020-06-05,North America,1228,10
Croatia,2020-02-15,Europe,0,0
Croatia,2020-02-16,Europe,0,0
Croatia,2020-02-17,Europe,0,0
Croatia,2020-02-18,Europe,0,0
Croatia,2020-02-19,Europe,0,0
Croatia,2020-02-20,Europe,0,0
Croatia,2020-02-21,Europe,0,0
Croatia,2020-02-22,Europe,0,0
Croatia,2020-02-23,Europe,0,0
Croatia,2020-02-24,Europe,0,0
Croatia,2020-02-25,Europe,1,0
Croatia,2020-02-26,Europe,3,0
Croatia,2020-02-27,Europe,3,0
Croatia,2020-02-28,Europe,5,0
Croatia,2020-02-29,Europe,6,0
Croatia,2020-03-01,Europe,7,0
Croatia,2020-03-02,Europe,8,0
